"district","rps01","rps02","rps03","rps04","rps05","rps06","rps07","rps08","rps09","rps10","rps11","rps12","rps13","rps14","rps15","rps16","rps17","rps18","rps19","rps20","rps21","rps22","rps23","rps24","rps25","rps26","rps27","rps28"
"淡水區","房地(土地+建物)+車位","新北市淡水區中山北路二段１９７號８樓","27.11","住","","","1100925.0","土地1建物1車位1","八層","13.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1031008.0","164.73","3.0","2.0","2.0","有","有","無","25000.0","152.0","坡道平面","21.58","0.0","","RPXRMLSLRHGGFEF47CC"
"淡水區","房地(土地+建物)+車位","新北市淡水區中山北路二段２１７號９樓","27.32","住","","","1100925.0","土地1建物1車位1","九層","13.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1060220.0","179.69","3.0","2.0","2.0","有","有","有","25000.0","139.0","坡道平面","31.81","0.0","","RPVRMLSLRHGGFEF27CC"
"淡水區","房地(土地+建物)+車位","新北市淡水區中山北路二段２２５號四樓","26.68","住","","","1100918.0","土地1建物1車位2","四層","13.0","住宅大樓(11層含以上有電梯)","事務所及工商服務","鋼筋混凝土造","1060220.0","203.73","0.0","0.0","0.0","無","有","有","33000.0","162.0","坡道平面","63.6","0.0","甲方自起租日起，提供2個月的無償免租金裝潢期，給乙方裝修使用。","RPTNMLLLRHGGFEF58CC"
"淡水區","房地(土地+建物)+車位","新北市淡水區民權路２２１號２９樓之２","13.74","住","","","1100915.0","土地1建物1車位1","二十九層","29.0","住宅大樓(11層含以上有電梯)","住家用","鋼骨鋼筋混凝土造","961005.0","121.0","3.0","2.0","2.0","有","有","有","36000.0","298.0","坡道平面","31.5","0.0","","RPXTMLNLRHGGFEF17CC"
"淡水區","房地(土地+建物)+車位","新北市淡水區沙崙路１８１巷１３號３樓","28.56","住","","","1100825.0","土地1建物1車位1","三層","7.0","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","810619.0","122.86","3.0","2.0","2.0","有","無","有","18000.0","147.0","坡道平面","21.93","0.0","","RPSOMLKMRHGGFEF58CC"
"淡水區","房地(土地+建物)+車位","新北市淡水區淡金路一段５５７號１２樓","27.63","住","","","1100923.0","土地1建物1車位1","十二層","15.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1041001.0","186.43","3.0","2.0","2.0","有","有","有","24000.0","129.0","坡道平面","37.79","0.0","","RPURMLSLRHGGFEF17CC"
"淡水區","房地(土地+建物)+車位","新北市淡水區新市一路三段１０１巷１４２號十四樓","17.84","住","","","1100929.0","土地1建物1車位1","十四層","15.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1000922.0","133.88","2.0","2.0","1.0","有","有","有","20000.0","149.0","坡道平面","35.44","0.0","含管理費、稅金或水電等費用。；","RPQOMLKMRHGGFEF38CC"
"淡水區","房地(土地+建物)+車位","新北市淡水區新市二路二段８６號四樓","9.75","住","","","1100914.0","土地1建物1車位1","四層","15.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1031126.0","93.07","2.0","2.0","1.0","有","有","有","17500.0","188.0","坡道平面","32.83","0.0","","RPTPMLOLRHGGFEF09CC"
"淡水區","房地(土地+建物)+車位","新北市淡水區新市三路二段１１８１號十一樓","9.93","商","","","1100917.0","土地1建物1車位1","十一層","29.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1070525.0","122.0","3.0","2.0","2.0","有","有","有","21000.0","172.0","坡道平面","30.46","0.0","","RPSRMLOLRHGGFEF56CC"
"淡水區","房地(土地+建物)+車位","新北市淡水區新市三路二段２０７號２０樓","7.94","商","","","1100923.0","土地1建物1車位1","二十層","29.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1070525.0","89.08","3.0","1.0","2.0","有","有","有","21000.0","236.0","坡道平面","30.47","0.0","","RPPPMLRLRHGGFEF98CC"
